Timestamp,Symbol,Side,Qty,Price
2026-05-02 11:05:01,BTCUSDT,BUY,0.001,78220.91000000
2026-05-02 11:05:587,BTCUSDT,BUY,0.001,78220.91000000
2026-05-02 11:05:469,ETHUSDT,BUY,0.01,2300.51000000
2026-05-02 11:05:829,SOLUSDT,BUY,0.2,83.69000000
2026-05-02 11:05:487,ETHUSDT,BUY,0.01,2300.51000000
2026-05-02 11:05:377,BTCUSDT,BUY,0.001,78223.00000000
2026-05-02 11:05:269,BTCUSDT,BUY,0.001,78223.00000000
2026-05-02 11:05:889,BTCUSDT,SELL,0.001,78222.99000000
2026-05-02 11:05:558,BTCUSDT,BUY,0.001,78223.00000000
2026-05-02 11:05:868,BTCUSDT,BUY,0.001,78223.01000000
2026-05-02 12:05:31,BTCUSDT,SELL,0.001,78310.86000000
2026-05-02 12:05:906,ETHUSDT,BUY,0.01,2303.39000000
2026-05-02 12:05:755,SOLUSDT,SELL,0.2,83.83000000
2026-05-02 12:05:096,BTCUSDT,BUY,0.001,78310.87000000
2026-05-02 12:05:348,EURUSDT,SELL,11.0,1.17210000
2026-05-02 12:05:977,SOLUSDT,SELL,0.2,83.83000000
2026-05-02 12:05:44,BTCUSDT,SELL,0.001,78303.02000000
2026-05-02 12:05:669,BTCUSDT,SELL,0.001,78303.02000000
2026-05-02 12:05:861,BTCUSDT,SELL,0.001,78303.02000000
2026-05-02 12:05:658,SOLUSDT,BUY,0.2,83.84000000
2026-05-02 12:05:555,EURUSDT,BUY,11.0,1.17230000
2026-05-02 12:05:476,BTCUSDT,BUY,0.001,78303.03000000
2026-05-02 12:05:298,BTCUSDT,SELL,0.001,78303.02000000
2026-05-02 12:05:611,BTCUSDT,BUY,0.001,78303.95000000
2026-05-02 12:05:111,SOLUSDT,BUY,0.2,83.85000000
2026-05-02 12:05:042,EURUSDT,SELL,11.0,1.17210000
2026-05-02 12:05:033,BTCUSDT,SELL,0.001,78303.93000000
2026-05-02 12:05:283,EURUSDT,SELL,11.0,1.17210000
2026-05-02 12:05:782,BTCUSDT,BUY,0.001,78303.94000000
2026-05-02 12:05:31,ETHUSDT,SELL,0.01,2303.38000000
2026-05-02 12:05:46,BTCUSDT,BUY,0.001,78303.94000000
2026-05-02 12:05:843,ETHUSDT,BUY,0.01,2303.39000000
2026-05-02 12:05:575,BTCUSDT,SELL,0.001,78303.93000000
2026-05-02 12:05:528,ETHUSDT,BUY,0.01,2303.57000000
2026-05-02 12:05:015,EURUSDT,BUY,11.0,1.17230000
2026-05-02 12:05:484,EURUSDT,SELL,11.0,1.17210000
2026-05-02 12:05:784,BNBUSDT,BUY,0.05,615.77000000
2026-05-02 12:05:911,BNBUSDT,BUY,0.05,615.77000000
2026-05-02 12:05:564,BTCUSDT,BUY,0.001,78303.94000000
2026-05-02 12:05:944,EURUSDT,BUY,11.0,1.17230000
2026-05-02 12:05:412,SOLUSDT,SELL,0.2,83.85000000
2026-05-02 12:05:737,BTCUSDT,SELL,0.001,78303.93000000
2026-05-02 12:05:612,BTCUSDT,SELL,0.001,78303.93000000
2026-05-02 12:05:763,ETHUSDT,SELL,0.01,2303.98000000
2026-05-02 12:05:541,ETHUSDT,SELL,0.01,2303.98000000
2026-05-02 12:05:152,BTCUSDT,SELL,0.001,78301.61000000
2026-05-02 12:05:453,BTCUSDT,SELL,0.001,78301.39000000
2026-05-02 12:05:853,BTCUSDT,SELL,0.001,78301.39000000
2026-05-02 12:05:841,BNBUSDT,SELL,0.05,615.74000000
2026-05-02 12:05:552,BNBUSDT,SELL,0.05,615.74000000
2026-05-02 12:05:599,BTCUSDT,SELL,0.001,78301.38000000
2026-05-02 12:05:923,BTCUSDT,SELL,0.001,78300.82000000
2026-05-02 12:05:744,SOLUSDT,SELL,0.2,83.86000000
2026-05-02 12:05:046,BTCUSDT,SELL,0.001,78300.82000000
2026-05-02 12:05:134,ETHUSDT,BUY,0.01,2304.68000000
2026-05-02 12:05:839,BTCUSDT,SELL,0.001,78296.43000000
2026-05-02 12:05:543,SOLUSDT,BUY,0.2,83.89000000
2026-05-02 12:05:003,BTCUSDT,BUY,0.001,78296.44000000
2026-05-02 12:05:355,BTCUSDT,BUY,0.001,78312.89000000
2026-05-02 12:05:242,SOLUSDT,BUY,0.2,83.90000000
2026-05-02 12:05:338,ETHUSDT,BUY,0.01,2305.00000000
2026-05-02 12:05:38,BTCUSDT,SELL,0.001,78312.88000000
2026-05-02 12:11:36,BTCUSDT,SELL,0.001,78306.06000000
2026-05-02 12:11:44,BTCUSDT,SELL,0.001,78301.70000000
2026-05-02 12:11:49,BTCUSDT,SELL,0.001,78301.70000000
2026-05-02 12:11:51,ETHUSDT,SELL,0.01,2304.96000000
2026-05-02 12:11:57,ETHUSDT,SELL,0.01,2304.96000000
2026-05-02 12:12:05,BTCUSDT,BUY,0.001,78301.71000000
